name,domains,skills,paid,duration,role,location,mode,prerequisites,stipend,other
SecureGate Cyber,UI/UX,"Prototyping, Figma, Wireframing, User Research",Yes,3 months,UI/UX Design Intern,Delhi,hybrid,College projects or mini-projects in related areas is a plus.,₹6872 /month,Team outings and hackathon-style sprints.
OrbitSoft,Cloud Computing,"CI/CD, Docker, Kubernetes, Linux",Yes,4–6 months,Cloud Engineer Intern,Pune,remote,Good communication skills and ability to work in a team.,₹10290 /month,Team outings and hackathon-style sprints.
OrbitSoft,Cloud Computing,"AWS, Docker, CI/CD, Linux",Yes,4–6 months,Cloud Engineer Intern,Mumbai,remote,"Comfortable with AWS, Docker, CI/CD, Linux and basic problem solving.",₹7975 /month,Flexible working hours and remote-friendly culture.
MarketPulse Insights,DevOps,"Linux, Kubernetes, CI/CD, Docker",No,4–6 months,SRE Intern,Bengaluru,remote,Basic understanding of industry tools used in DevOps.,₹0 /month,Opportunity to work on live client projects.
OrbitSoft,Web Development,"Node.js, JavaScript, React, HTML",Yes,6 months,Frontend Web Intern,Remote,onsite,Strong fundamentals in Web Development and willingness to learn.,₹17618 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,Cloud Computing,"Kubernetes, CI/CD, AWS, Linux",Yes,6 months,Cloud Engineer Intern,Hyderabad,hybrid,Good communication skills and ability to work in a team.,₹23723 /month,Flexible working hours and remote-friendly culture.
SecureGate Cyber,Web Development,"Node.js, REST APIs, JavaScript, HTML",Yes,3 months,Full-Stack Web Intern,Mumbai,remote,"Comfortable with Node.js, REST APIs, JavaScript, HTML and basic problem solving.",₹4793 /month,Team outings and hackathon-style sprints.
BlueSky Digital,Machine Learning,"Scikit-Learn, Python, MLflow, PyTorch",Yes,6 months,ML Engineer Intern,Mumbai,hybrid,Good communication skills and ability to work in a team.,₹4545 /month,Certificate and Letter of Recommendation.
HealthSync Systems,Cloud Computing,"Kubernetes, CI/CD, AWS, Docker",Yes,3 months,Cloud Engineer Intern,Mumbai,onsite,Good communication skills and ability to work in a team.,₹17176 /month,Team outings and hackathon-style sprints.
PixelCraft Studios,Machine Learning,"Python, Scikit-Learn, TensorFlow, PyTorch",Yes,3 months,ML Engineer Intern,Coimbatore,onsite,College projects or mini-projects in related areas is a plus.,₹7299 /month,Access to internal learning resources and workshops.
BrightPath Solutions,Cloud Computing,"AWS, CI/CD, Linux, Kubernetes",Yes,3 months,Cloud Intern,Mumbai,remote,"Comfortable with AWS, CI/CD, Linux, Kubernetes and basic problem solving.",₹6110 /month,Team outings and hackathon-style sprints.
MarketPulse Insights,Cloud Computing,"Linux, Kubernetes, AWS, Docker",Yes,2 months,Cloud Engineer Intern,Coimbatore,hybrid,Strong fundamentals in Cloud Computing and willingness to learn.,₹4619 /month,Certificate and Letter of Recommendation.
CyberMatrix Security,Web Development,"React, CSS, REST APIs, HTML",Yes,4–6 months,Frontend Web Intern,Coimbatore,onsite,Strong fundamentals in Web Development and willingness to learn.,₹4265 /month,Chance for Pre-Placement Offer (PPO) based on performance.
FinTrack Analytics,DevOps,"Kubernetes, GitHub Actions, CI/CD, Docker",Yes,3 months,SRE Intern,Remote,onsite,Good communication skills and ability to work in a team.,₹3735 /month,1:1 mentorship from industry professionals.
CyberMatrix Security,Machine Learning,"Python, MLflow, Scikit-Learn, PyTorch",Yes,3 months,ML Engineer Intern,Pune,hybrid,Good communication skills and ability to work in a team.,₹24545 /month,1:1 mentorship from industry professionals.
NeuroGrid AI,Cybersecurity,"Networking, Kali Linux, OWASP Top 10, Python",Yes,6 months,Cybersecurity Intern,Delhi,onsite,College projects or mini-projects in related areas is a plus.,₹23626 /month,Certificate and Letter of Recommendation.
MarketPulse Insights,Web Development,"HTML, React, REST APIs, JavaScript",Yes,4–6 months,Full-Stack Web Intern,Chennai,hybrid,Basic understanding of industry tools used in Web Development.,₹22784 /month,Chance for Pre-Placement Offer (PPO) based on performance.
HealthSync Systems,UI/UX,"Prototyping, Figma, User Research, Wireframing",Yes,4–6 months,UI/UX Design Intern,Chennai,hybrid,"Comfortable with Prototyping, Figma, User Research, Wireframing and basic problem solving.",₹5576 /month,Certificate and Letter of Recommendation.
WebWorks Studio,Data Science,"Pandas, NumPy, Python, SQL",Yes,2 months,Data Science Intern,Remote,hybrid,Strong fundamentals in Data Science and willingness to learn.,₹12800 /month,Access to internal learning resources and workshops.
BlueSky Digital,AI & Robotics,"Embedded Systems, Python, OpenCV, ROS",Yes,4–6 months,Robotics Intern,Kochi,remote,"Comfortable with Embedded Systems, Python, OpenCV, ROS and basic problem solving.",₹6493 /month,1:1 mentorship from industry professionals.
OrbitSoft,DevOps,"GitHub Actions, Linux, Kubernetes, Docker",Yes,2 months,DevOps Intern,Coimbatore,remote,Strong fundamentals in DevOps and willingness to learn.,₹7161 /month,Access to internal learning resources and workshops.
GreenStack Innovations,Cybersecurity,"Kali Linux, OWASP Top 10, Burp Suite, Networking",Yes,2 months,Cybersecurity Intern,Hyderabad,remote,"Comfortable with Kali Linux, OWASP Top 10, Burp Suite, Networking and basic problem solving.",₹5310 /month,Chance for Pre-Placement Offer (PPO) based on performance.
AI Nexus Research,Business Analytics,"Excel, Power BI, Tableau, Storytelling",Yes,6 months,Business Analyst Intern,Pune,remote,Basic understanding of industry tools used in Business Analytics.,₹8450 /month,Certificate and Letter of Recommendation.
DataForge Labs,Cloud Computing,"AWS, Docker, Kubernetes, CI/CD",Yes,4–6 months,Cloud Intern,Remote,onsite,"Comfortable with AWS, Docker, Kubernetes, CI/CD and basic problem solving.",₹7248 /month,Team outings and hackathon-style sprints.
BrightPath Solutions,AI & Robotics,"OpenCV, Python, ROS, Embedded Systems",Yes,2 months,AI Research Intern,Remote,hybrid,Good communication skills and ability to work in a team.,₹12996 /month,Access to internal learning resources and workshops.
MarketPulse Insights,Data Science,"NumPy, Python, SQL, Pandas",Yes,4–6 months,Data Analyst Intern,Coimbatore,remote,"Comfortable with NumPy, Python, SQL, Pandas and basic problem solving.",₹24715 /month,1:1 mentorship from industry professionals.
BlueSky Digital,AI & Robotics,"Python, OpenCV, Embedded Systems, ROS",Yes,2 months,Robotics Intern,Chennai,onsite,Strong fundamentals in AI & Robotics and willingness to learn.,₹9050 /month,Access to internal learning resources and workshops.
SecureGate Cyber,Data Science,"Power BI, Scikit-Learn, Python, SQL",Yes,4–6 months,Data Analyst Intern,Delhi,remote,Good communication skills and ability to work in a team.,₹13801 /month,Chance for Pre-Placement Offer (PPO) based on performance.
BrightPath Solutions,Cloud Computing,"Kubernetes, AWS, CI/CD, Docker",Yes,6 months,Cloud Intern,Noida,onsite,Strong fundamentals in Cloud Computing and willingness to learn.,₹6638 /month,Team outings and hackathon-style sprints.
FinTrack Analytics,UI/UX,"User Research, Wireframing, Figma, Prototyping",No,4–6 months,UI/UX Design Intern,Delhi,remote,Basic understanding of industry tools used in UI/UX.,₹0 /month,Chance for Pre-Placement Offer (PPO) based on performance.
HealthSync Systems,AI & Robotics,"OpenCV, Python, Embedded Systems, ROS",Yes,4–6 months,AI Research Intern,Hyderabad,onsite,College projects or mini-projects in related areas is a plus.,₹14175 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,Business Analytics,"SQL, Power BI, Tableau, Storytelling",Yes,3 months,Business Analyst Intern,Chennai,remote,Basic understanding of industry tools used in Business Analytics.,₹3024 /month,1:1 mentorship from industry professionals.
DataForge Labs,Cloud Computing,"Docker, CI/CD, AWS, Linux",No,4–6 months,Cloud Intern,Remote,hybrid,Basic understanding of industry tools used in Cloud Computing.,₹0 /month,1:1 mentorship from industry professionals.
MarketPulse Insights,Data Science,"SQL, NumPy, Scikit-Learn, Python",Yes,6 months,Data Science Intern,Chennai,remote,"Comfortable with SQL, NumPy, Scikit-Learn, Python and basic problem solving.",₹7785 /month,1:1 mentorship from industry professionals.
PixelCraft Studios,UI/UX,"Figma, Prototyping, Wireframing, User Research",Yes,3 months,UI/UX Design Intern,Mumbai,remote,Strong fundamentals in UI/UX and willingness to learn.,₹3191 /month,Chance for Pre-Placement Offer (PPO) based on performance.
BlueSky Digital,Data Science,"SQL, Pandas, Scikit-Learn, NumPy",Yes,6 months,Data Analyst Intern,Coimbatore,onsite,Good communication skills and ability to work in a team.,₹7793 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,DevOps,"CI/CD, Kubernetes, GitHub Actions, Linux",Yes,3 months,SRE Intern,Delhi,remote,College projects or mini-projects in related areas is a plus.,₹3205 /month,Certificate and Letter of Recommendation.
HealthSync Systems,Machine Learning,"TensorFlow, MLflow, PyTorch, Python",No,3 months,ML Engineer Intern,Delhi,remote,Strong fundamentals in Machine Learning and willingness to learn.,₹0 /month,Opportunity to work on live client projects.
BrightPath Solutions,Machine Learning,"Scikit-Learn, MLflow, TensorFlow, PyTorch",Yes,6 months,ML Engineer Intern,Kochi,onsite,Basic understanding of industry tools used in Machine Learning.,₹4928 /month,Access to internal learning resources and workshops.
SecureGate Cyber,Business Analytics,"Tableau, SQL, Power BI, Excel",No,6 months,Analytics Intern,Pune,onsite,Good communication skills and ability to work in a team.,₹0 /month,Certificate and Letter of Recommendation.
MarketPulse Insights,DevOps,"CI/CD, Kubernetes, Linux, Docker",No,6 months,DevOps Intern,Delhi,onsite,Good communication skills and ability to work in a team.,₹0 /month,Chance for Pre-Placement Offer (PPO) based on performance.
BlueSky Digital,DevOps,"CI/CD, Docker, GitHub Actions, Linux",Yes,2 months,SRE Intern,Bengaluru,hybrid,Strong fundamentals in DevOps and willingness to learn.,₹3005 /month,Chance for Pre-Placement Offer (PPO) based on performance.
GreenStack Innovations,AI & Robotics,"OpenCV, Embedded Systems, ROS, Python",Yes,3 months,AI Research Intern,Kochi,onsite,"Comfortable with OpenCV, Embedded Systems, ROS, Python and basic problem solving.",₹22149 /month,Flexible working hours and remote-friendly culture.
BlueSky Digital,Business Analytics,"Storytelling, Excel, Tableau, SQL",Yes,6 months,Business Analyst Intern,Noida,remote,Good communication skills and ability to work in a team.,₹8970 /month,Chance for Pre-Placement Offer (PPO) based on performance.
DataForge Labs,Cloud Computing,"AWS, Kubernetes, Docker, Linux",Yes,4–6 months,Cloud Engineer Intern,Pune,onsite,"Comfortable with AWS, Kubernetes, Docker, Linux and basic problem solving.",₹11405 /month,Opportunity to work on live client projects.
BrightPath Solutions,AI & Robotics,"OpenCV, Embedded Systems, ROS, Python",Yes,3 months,AI Research Intern,Kochi,remote,"Comfortable with OpenCV, Embedded Systems, ROS, Python and basic problem solving.",₹14132 /month,Team outings and hackathon-style sprints.
GreenStack Innovations,AI & Robotics,"OpenCV, Embedded Systems, ROS, Python",Yes,4–6 months,AI Research Intern,Mumbai,remote,Good communication skills and ability to work in a team.,₹14741 /month,1:1 mentorship from industry professionals.
HealthSync Systems,DevOps,"Linux, GitHub Actions, CI/CD, Docker",Yes,6 months,SRE Intern,Bengaluru,onsite,Basic understanding of industry tools used in DevOps.,₹18893 /month,Access to internal learning resources and workshops.
CloudNova Tech,Data Science,"Pandas, Python, NumPy, Power BI",No,6 months,Data Analyst Intern,Bengaluru,hybrid,"Comfortable with Pandas, Python, NumPy, Power BI and basic problem solving.",₹0 /month,Flexible working hours and remote-friendly culture.
MarketPulse Insights,Business Analytics,"Power BI, Tableau, Excel, SQL",Yes,4–6 months,Business Analyst Intern,Pune,hybrid,Good communication skills and ability to work in a team.,₹20287 /month,Team outings and hackathon-style sprints.
OrbitSoft,AI & Robotics,"Embedded Systems, Python, OpenCV, ROS",Yes,2 months,Robotics Intern,Hyderabad,remote,Basic understanding of industry tools used in AI & Robotics.,₹19339 /month,Chance for Pre-Placement Offer (PPO) based on performance.
OrbitSoft,UI/UX,"Figma, Wireframing, Prototyping, User Research",Yes,6 months,UI/UX Design Intern,Kochi,hybrid,Basic understanding of industry tools used in UI/UX.,₹3364 /month,1:1 mentorship from industry professionals.
AI Nexus Research,Cybersecurity,"Kali Linux, Networking, OWASP Top 10, Burp Suite",No,4–6 months,Cybersecurity Intern,Remote,hybrid,College projects or mini-projects in related areas is a plus.,₹0 /month,Access to internal learning resources and workshops.
FinTrack Analytics,Mobile Development,"Dart, Flutter, Android, REST APIs",No,4–6 months,Flutter Developer Intern,Pune,hybrid,Good communication skills and ability to work in a team.,₹0 /month,Flexible working hours and remote-friendly culture.
GreenStack Innovations,Machine Learning,"Python, PyTorch, Scikit-Learn, MLflow",Yes,3 months,ML Engineer Intern,Bengaluru,onsite,"Comfortable with Python, PyTorch, Scikit-Learn, MLflow and basic problem solving.",₹11438 /month,Opportunity to work on live client projects.
WebWorks Studio,DevOps,"GitHub Actions, Linux, Docker, CI/CD",No,2 months,SRE Intern,Remote,hybrid,"Comfortable with GitHub Actions, Linux, Docker, CI/CD and basic problem solving.",₹0 /month,Access to internal learning resources and workshops.
WebWorks Studio,Data Science,"NumPy, Power BI, Pandas, SQL",No,3 months,Data Analyst Intern,Pune,hybrid,Strong fundamentals in Data Science and willingness to learn.,₹0 /month,Flexible working hours and remote-friendly culture.
AI Nexus Research,Mobile Development,"Dart, REST APIs, Flutter, Android",Yes,6 months,Flutter Developer Intern,Coimbatore,onsite,"Comfortable with Dart, REST APIs, Flutter, Android and basic problem solving.",₹6992 /month,Access to internal learning resources and workshops.
BlueSky Digital,UI/UX,"Prototyping, Wireframing, User Research, Figma",Yes,3 months,UI/UX Design Intern,Chennai,onsite,Good communication skills and ability to work in a team.,₹16359 /month,Team outings and hackathon-style sprints.
NeuroGrid AI,AI & Robotics,"OpenCV, Embedded Systems, Python, ROS",No,6 months,Robotics Intern,Pune,onsite,College projects or mini-projects in related areas is a plus.,₹0 /month,Opportunity to work on live client projects.
MarketPulse Insights,DevOps,"Kubernetes, Linux, GitHub Actions, Docker",Yes,2 months,DevOps Intern,Delhi,remote,College projects or mini-projects in related areas is a plus.,₹4721 /month,Flexible working hours and remote-friendly culture.
BlueSky Digital,Cloud Computing,"Linux, Kubernetes, AWS, Docker",Yes,2 months,Cloud Engineer Intern,Coimbatore,onsite,College projects or mini-projects in related areas is a plus.,₹22667 /month,Chance for Pre-Placement Offer (PPO) based on performance.
BrightPath Solutions,Data Science,"NumPy, Power BI, Scikit-Learn, Pandas",Yes,2 months,Data Analyst Intern,Chennai,hybrid,Strong fundamentals in Data Science and willingness to learn.,₹6927 /month,1:1 mentorship from industry professionals.
NeuroGrid AI,AI & Robotics,"Embedded Systems, Python, ROS, OpenCV",No,2 months,Robotics Intern,Pune,onsite,Basic understanding of industry tools used in AI & Robotics.,₹0 /month,Opportunity to work on live client projects.
GreenStack Innovations,UI/UX,"Wireframing, User Research, Figma, Prototyping",No,2 months,UI/UX Design Intern,Coimbatore,remote,Good communication skills and ability to work in a team.,₹0 /month,Certificate and Letter of Recommendation.
FinTrack Analytics,Machine Learning,"Python, Scikit-Learn, MLflow, PyTorch",No,4–6 months,AI Intern,Coimbatore,hybrid,Good communication skills and ability to work in a team.,₹0 /month,Chance for Pre-Placement Offer (PPO) based on performance.
AI Nexus Research,Cybersecurity,"Networking, Burp Suite, Kali Linux, Python",Yes,3 months,Security Analyst Intern,Chennai,onsite,Strong fundamentals in Cybersecurity and willingness to learn.,₹7344 /month,Team outings and hackathon-style sprints.
WebWorks Studio,Data Science,"Scikit-Learn, Power BI, SQL, Python",Yes,4–6 months,Data Analyst Intern,Coimbatore,remote,Strong fundamentals in Data Science and willingness to learn.,₹14868 /month,Flexible working hours and remote-friendly culture.
